1
1	30
0.000000	4.755556	100.000000	1 ;
3.775578	4.780204	98.341624	1 ;
7.960163	4.882440	83.803371	1 ;
12.547383	5.046039	61.842860	1 ;
17.515803	5.208604	47.204396	1 ;
22.827423	5.274031	38.979282	1 ;
28.427446	5.124971	35.000831	1 ;
34.245497	4.771042	33.257139	1 ;
40.198622	4.422092	31.733687	1 ;
46.195657	4.137533	30.313826	1 ;
52.142847	3.860809	28.608502	1 ;
57.949410	3.608304	26.888084	1 ;
63.533028	3.385328	25.328933	1 ;
68.824329	3.182514	23.976105	1 ;
73.769513	2.991491	22.635976	1 ;
78.331641	2.815655	21.538591	1 ;
82.490310	2.656337	21.100769	1 ;
86.240030	2.509307	21.100000	1 ;
89.587869	2.371957	21.100000	1 ;
92.550713	2.244477	21.100000	1 ;
95.152483	2.128936	21.100000	1 ;
97.421598	2.025491	21.100000	1 ;
99.388804	1.933941	21.100000	1 ;
101.085459	1.853417	21.100000	1 ;
102.542247	1.783814	21.100000	1 ;
103.788285	1.723801	21.100000	1 ;
104.850570	1.670805	21.100000	1 ;
105.753665	1.609899	21.100000	1 ;
106.519601	1.426278	21.100000	1 ;
107.167897	0.457265	21.100000	1 ;
